"","","","","","","",""
"","","","DANH SÁCH VỤN TỒN KHO THÁNG 10","","","",""
"","","","Ngày: ","10/07/2026","","",""
"","","","","","","",""
"STT","Ngày nhập kho","Mã nguyên liệu","Tên nguyên liệu","Trọng lượng
(Gr)","Tuổi test","Nguồn nhập","Ghi chú"
"VỤN NGUYÊN LIỆU 18KV","","","","234.42","","",""
"1","30/9/2023","VUN18KV","Nguyên liệu vụn 18K vàng","107.79","74.97%","Thợ Lê Văn Tùng",""
"2","30/9/2023","VUN18KV","Nguyên liệu vụn 18K vàng","85.14","75.47%","Thợ Hồ Hữu Hà",""
"3","3/10/2023","VUN18KV","Nguyên liệu vụn 18K vàng","6.81","","Test đơn PO230902-750-2","KT chưa nhận được phiếu test tuổi"
"4","","","","","","",""
"4","11/10/2023","VUN18KV","Nguyên liệu vụn 18K vàng","34.68","","Thợ Hồ Hữu Hà","Chưa test tuổi"
"5","28/10/2023","VUN18KV","Nguyên liệu vụn 18K vàng","22.41","","Thợ Ôn Khí Sinh","Đã test"
"6","30/10/2023","VUN18KV","Nguyên liệu vụn 18K vàng","4.56","","Thợ Bùi Văn Trung","Đã test"
"7","30/10/2023","VUN18KV","Nguyên liệu vụn 18K vàng","10.95","","Thợ Lê Văn Tùng","Đã test"
"8","31/10/2023","VUN18KV","Nguyên liệu vụn 18K vàng","12.83","","Thợ Hồ Hữu Hà","Chưa test tuổi"
"VỤN NGUYÊN LIỆU 18KH","","","","47.67","","",""
"1","28/10/2023","VUN18KH","Nguyên liệu vụn 18K hồng","43.53","","Thợ Bùi Văn Trung","Chưa test tuổi"
"2","28/10/2023","VUN18KH","Nguyên liệu vụn 18K hồng","1.62","","Thợ Bùi Văn Trung","Chưa test tuổi"
"3","","VUN18KH","Nguyên liệu vụn 18K hồng","2.52","","Test đơn PO231001-750H",""
"4","","","","","","",""
"VỤN NGUYÊN LIỆU 610W","","","","0.00","","",""
"1","28/10/2023","VUN610W","","","","",""
"2","28/10/2023","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"VỤN NGUYÊN LIỆU 610Y","","","","24.26","","",""
"1","7/11/2023","VUN610Y","","10.24","","",""
"2","7/11/2023","VUN610Y","","14.02","","",""
